regulator,role,name,since,term_or_note,predecessor,appointing_authority,source_url
rbi,Governor,Sanjay Malhotra,2024-12,26th Governor,,Appointments Committee of the Cabinet,https://bfsi.economictimes.indiatimes.com/articles/leadership-overhaul-in-indian-regulatory-bodies-2025-changes-at-rbi-sebi-irdai-and-pfrda/126188548
rbi,Deputy Governor,Poonam Gupta,2025-04,,,Central Government,https://bfsi.economictimes.indiatimes.com/articles/leadership-overhaul-in-indian-regulatory-bodies-2025-changes-at-rbi-sebi-irdai-and-pfrda/126188548
rbi,Deputy Governor,Shirish Chandra Murmu,2025-10,,,Central Government,https://bfsi.economictimes.indiatimes.com/articles/leadership-overhaul-in-indian-regulatory-bodies-2025-changes-at-rbi-sebi-irdai-and-pfrda/126188548
sebi,Chairperson,Tuhin Kanta Pandey,2025-02,,Madhabi Puri Buch,Appointments Committee of the Cabinet,https://www.reuters.com/sustainability/boards-policy-regulation/india-watchdog-presses-banks-other-regulators-stricter-insider-trading-2026-03-02
sebi,Whole-Time Member,Sandip Pradhan,2025-12,,,Central Government,https://bfsi.economictimes.indiatimes.com/articles/leadership-overhaul-in-indian-regulatory-bodies-2025-changes-at-rbi-sebi-irdai-and-pfrda/126188548
irdai,Chairperson,Ajay Seth,2025-07-24,Former DEA Secretary,Debasish Panda,Central Government,https://bfsi.economictimes.indiatimes.com/articles/leadership-overhaul-in-indian-regulatory-bodies-2025-changes-at-rbi-sebi-irdai-and-pfrda/126188548
irdai,Whole-Time Member (Life),Swaminathan S Iyer,2025,,,IRDAI/Central Government,https://bfsi.economictimes.indiatimes.com/articles/leadership-overhaul-in-indian-regulatory-bodies-2025-changes-at-rbi-sebi-irdai-and-pfrda/126188548
pfrda,Chairperson,Sivasubramanian Ramann,2025-06-20,Former Deputy CAG and CTO Office of CAG,,Central Government,https://bfsi.economictimes.indiatimes.com/articles/leadership-overhaul-in-indian-regulatory-bodies-2025-changes-at-rbi-sebi-irdai-and-pfrda/126188548
ibbi,Chairperson,Ravi Mital,2021-10,"Still in office as of Sep 2026 (gazette signatures May 2026; NCLAT order 8 Sep 2026); succession search opened Jun 2026",M S Sahoo,Central Government,https://www.businesstoday.in/latest/corporate/story/ibbi-initiates-search-for-next-chairperson-applications-open-as-succession-process-starts-early-535500-2026-06-08
ifsca,Chairperson,K. Rajaraman,2023-09,"Tenure extended to Oct 2028 (Aug 2026)",Injeti Srinivas,Central Government,https://m.economictimes.com/news/india/govt-extends-ifsc-authority-chairman-k-rajaramans-tenure-till-oct-2028/articleshow/132770365.cms
nabard,Chairman,Shaji K V,2022-12,Confirmed in office as of Sep 2026,,Central Government,https://guidely.in/current-affairs/daily-current-affairs-05-september-2026
fsdc,Chairperson,Nirmala Sitharaman,2019-05,Ex officio as Union Finance Minister,,,https://www.careerpower.in/blog/wp-content/uploads/2026/04/02191443/The-Hindu-Review-March-2026.pdf
