id,name,abbr,type,statute,established,ministry,mandate,website,grievance,status
rbi,Reserve Bank of India,RBI,statutory_core,"Reserve Bank of India Act, 1934 (operational 1 Apr 1935)",1935,"Autonomous (within Ministry of Finance architecture)","Banking, NBFCs, payment systems (PSS Act 2007), credit information companies, monetary policy, forex (FEMA 1999)",https://www.rbi.org.in,"RBI Integrated Ombudsman Scheme — cms.rbi.org.in (free; escalate after 30 days of no reply from the regulated entity)",active
sebi,Securities and Exchange Board of India,SEBI,statutory_core,"SEBI Act, 1992 (statutory; existed as non-statutory body since 1988)",1988,Ministry of Finance,"Securities markets: brokers, mutual funds, AIFs, listed companies, FPIs, investment advisers, credit rating agencies",https://www.sebi.gov.in,"SCORES 2.0 — scores.gov.in; SMART ODR for online dispute resolution",active
irdai,Insurance Regulatory and Development Authority of India,IRDAI,statutory_core,"IRDA Act, 1999",1999,Ministry of Finance,"Insurers, intermediaries, web aggregators, TPAs; product oversight; policyholder protection (HQ: Hyderabad)","https://irdai.gov.in","Bima Bharosa portal + Insurance Ombudsman (cioins.gov.in)",active
pfrda,Pension Fund Regulatory and Development Authority,PFRDA,statutory_core,"PFRDA Act, 2013 (statutory w.e.f. 1 Feb 2014; interim body since 2003)",2003,Ministry of Finance,"NPS and APY: pension funds, central recordkeeping agencies, points of presence, retirement advisers",https://www.pfrda.org.in,"NPS Ombudsman under PFRDA (Redressal of Subscriber Grievance) Regulations, 2015; CRA helplines",active
ibbi,Insolvency and Bankruptcy Board of India,IBBI,statutory_core,"Insolvency and Bankruptcy Code, 2016 (Board constituted 1 Oct 2016)",2016,Ministry of Finance,"Insolvency professionals, insolvency professional agencies, information utilities; CIRP and liquidation process oversight",https://www.ibbi.gov.in,"Grievance and Complaint Handling Regulations, 2017 (amended Feb 2026)",active
ifsca,International Financial Services Centres Authority,IFSCA,statutory_core,"IFSCA Act, 2019 (operational 1 Oct 2020)",2020,Ministry of Finance,"Unified regulator for GIFT IFSC: banking, capital markets, insurance, fintech sandbox, aircraft and ship leasing",https://ifsca.gov.in,"IFSCA complaint channels for IFSC-registered entities",active
nabard,National Bank for Agriculture and Rural Development,NABARD,statutory_core,"NABARD Act, 1981 (established 12 Jul 1982)",1982,Ministry of Finance,"Refinance and development finance for agriculture and rural India; statutory supervisory role over cooperative banks and RRBs",https://www.nabard.org,"Customers of supervised institutions use RBI Ombudsman route; NABARD itself handles institutional complaints",active
dicgc,Deposit Insurance and Credit Guarantee Corporation,DICGC,statutory_adjacent,"DICGC Act, 1961 (corporation constituted 1978)",1978,"Reserve Bank of India (wholly owned)","Deposit insurance: Rs 5 lakh per depositor per bank per right (since 4 Feb 2020); insurer of last resort on bank failure",https://dicgc.org.in,"Claims routed via failed banks; RBI Ombudsman for related disputes",active
nhb,National Housing Bank,NHB,statutory_adjacent,"NHB Act, 1987 (established 9 Jul 1988)",1988,"Reserve Bank of India (wholly owned)","Housing finance refinance and development; HFC regulation transferred to RBI on 9 Aug 2019",https://nhb.org.in,"HFC complaints now under RBI Ombudsman",active
sidbi,Small Industries Development Bank of India,SIDBI,statutory_adjacent,"SIDBI Act, 1989 (began operations 2 Apr 1990)",1990,Ministry of Finance,"Development finance for MSMEs; fund of funds; refinancing; not a conduct regulator",https://www.sidbi.in,"Direct borrow customers: SIDBI grievance desk; otherwise lender's own channels",active
nfra,National Financial Reporting Authority,NFRA,statutory_adjacent,"Companies Act, 2013, section 132 (constituted 2018)",2018,Ministry of Corporate Affairs,"Audit oversight: auditors and audit firms of listed and large unlisted companies; enforcement of accounting and auditing standards",https://nfra.gov.in,"No retail grievance channel — enforcement-led",active
fsdc,Financial Stability and Development Council,FSDC,nonstatutory_context,"No statute — created by executive resolution, 2010",2010,"Chaired ex officio by the Union Finance Minister","Apex coordination body: financial stability, inter-regulator issues, financial literacy and inclusion councils, cyber security forum",https://dea.gov.in,"No direct public grievance channel; minutes largely unpublished",active
npci,National Payments Corporation of India,NPCI,nonstatutory_context,"Section 8 not-for-profit company (2008), founded by RBI and IBA — not statutory",2008,"Not a government body","Runs retail payment rails: UPI, IMPS, NACH, RuPay, AePS, NETC — as an RBI-authorised payment system operator under PSS Act 2007",https://www.npci.org.in,"Escalate: PSP/bank first, then NPCI, then RBI Ombudsman (covers UPI failures)",active
